,CIC-UNSW-NB15,UNSW-NB15
raw_rows_in_file,447915,257673
rows_loaded,100169,99879
raw_features,76,44
dropped_identifier_columns,"['Bwd Packet Length Min', 'Fwd Seg Size Min']","['id', 'service', 'sttl', 'ct_state_ttl', 'attack_cat']"
rows_dropped_inf_nan,0,0
rows_dropped_duplicate,23120,34154
dropped_constant_columns,"['Bwd PSH Flags', 'Fwd URG Flags', 'Bwd URG Flags', 'URG Flag Count', 'CWR Flag Count', 'ECE Flag Count', 'Fwd Bytes/Bulk Avg', 'Fwd Packet/Bulk Avg', 'Fwd Bulk Rate Avg']",[]
rows_used,77049,65725
features_used,65,39
benign,58679,34137
malicious,18370,31588
benign_pct,76.16,51.94
malicious_pct,23.84,48.06
