feature,importance
num__FWD Init Win Bytes,0.5331454
num__Total Bwd packets,0.13327356
num__Bwd Header Length,0.09722045
num__Bwd Packets/s,0.07379807
num__Bwd Packet Length Max,0.009662073
num__Fwd Header Length,0.009564423
num__Total Fwd Packet,0.009047688
num__Packet Length Max,0.008299639
num__SYN Flag Count,0.0073247864
num__Total Length of Bwd Packet,0.0046337233
num__PSH Flag Count,0.004596974
num__Bwd IAT Total,0.0040745293
num__Packet Length Std,0.0038345375
num__Bwd Bytes/Bulk Avg,0.0037436308
num__ACK Flag Count,0.0034011442
num__Fwd IAT Std,0.0033352603
num__Bwd Packet Length Std,0.0030952645
num__Bwd Init Win Bytes,0.003070161
num__Active Min,0.0030316522
num__Fwd Packet Length Min,0.003027911
num__Fwd Packet Length Mean,0.0029764825
num__Idle Std,0.0029293268
num__Idle Mean,0.002736805
num__Flow Duration,0.0026583197
num__Fwd Packet Length Max,0.0025307222
num__Down/Up Ratio,0.0024945468
num__Fwd Packets/s,0.0024732526
num__Bwd Bulk Rate Avg,0.0024366977
num__Fwd IAT Max,0.0024206454
num__Flow IAT Std,0.002413582
num__Flow IAT Mean,0.0023429203
num__Total Length of Fwd Packet,0.0023387063
num__Bwd IAT Min,0.0023015004
num__Bwd IAT Max,0.0022872996
num__Fwd IAT Mean,0.00227074
num__Fwd Packet Length Std,0.0022427565
num__Average Packet Size,0.0022409996
num__Fwd IAT Min,0.0022064103
num__Flow IAT Max,0.002202568
num__Idle Max,0.0021394999
num__Subflow Bwd Bytes,0.0021142226
num__Packet Length Mean,0.0021064559
num__Flow Packets/s,0.002083823
num__Fwd IAT Total,0.0020494715
num__Bwd Packet/Bulk Avg,0.0020386435
num__Bwd IAT Mean,0.0019895823
num__Bwd IAT Std,0.001913007
num__Flow Bytes/s,0.0019094828
num__Bwd Packet Length Mean,0.0019086733
num__Packet Length Min,0.0017640844
num__Flow IAT Min,0.0017326929
num__Subflow Fwd Bytes,0.0017290884
num__Subflow Bwd Packets,0.0016461874
num__Subflow Fwd Packets,0.0016077531
num__Fwd Act Data Pkts,0.0013400879
num__FIN Flag Count,0.0011697274
num__Active Mean,0.0010723588
num__Fwd PSH Flags,0.0
num__Bwd Segment Size Avg,0.0
num__Packet Length Variance,0.0
num__RST Flag Count,0.0
num__Fwd Segment Size Avg,0.0
num__Active Std,0.0
num__Active Max,0.0
num__Idle Min,0.0
