feature,importance
num__dttl,0.1850124
num__ct_dst_sport_ltm,0.14822091
cat__state_INT,0.1366223
num__dload,0.10865526
cat__state_CON,0.059891887
num__swin,0.036987092
cat__proto_infrequent_sklearn,0.036460705
num__dloss,0.025033414
num__ct_srv_dst,0.021110497
num__trans_depth,0.017905796
num__ct_dst_src_ltm,0.016812848
cat__state_REQ,0.016222063
num__dpkts,0.013980119
cat__proto_udp,0.013813596
num__dbytes,0.012995372
num__dmean,0.012179408
num__sloss,0.011807368
num__spkts,0.011798526
num__sinpkt,0.010774527
num__smean,0.009578499
num__response_body_len,0.009566666
num__sbytes,0.008178081
num__is_ftp_login,0.006162941
num__rate,0.0059426487
num__dinpkt,0.005111938
num__tcprtt,0.0048651947
num__sload,0.004839179
num__sjit,0.004789863
num__ct_dst_ltm,0.004780167
num__synack,0.0046163592
num__ct_srv_src,0.0044391197
num__ct_src_dport_ltm,0.004352735
num__dur,0.004184885
num__djit,0.0040324535
num__ackdat,0.0039032279
num__dtcpb,0.003816029
num__stcpb,0.0034456798
num__ct_src_ltm,0.0033814847
num__ct_flw_http_mthd,0.00330775
num__is_sm_ips_ports,0.00042098507
num__dwin,0.0
num__ct_ftp_cmd,0.0
cat__proto_tcp,0.0
cat__state_FIN,0.0
cat__state_infrequent_sklearn,0.0
