feature,mean_abs_shap
num__dttl,1.9193245
num__dload,1.7391671
num__ct_dst_src_ltm,0.5292285
num__sbytes,0.427081
num__ct_dst_sport_ltm,0.3798884
num__smean,0.34645784
num__ct_srv_dst,0.2734575
num__ackdat,0.21925604
num__ct_srv_src,0.20758703
num__dbytes,0.20143215
num__dmean,0.18728068
num__trans_depth,0.17819647
cat__state_CON,0.16839555
num__sinpkt,0.1655437
num__ct_dst_ltm,0.16194099
num__synack,0.151431
num__tcprtt,0.13954346
cat__state_INT,0.13648397
num__dpkts,0.13549756
num__dur,0.1183708
num__sjit,0.115498126
num__ct_src_dport_ltm,0.1122825
num__stcpb,0.11162088
num__sload,0.10812052
num__dtcpb,0.10768441
num__rate,0.10744032
num__djit,0.104221165
num__sloss,0.10393043
num__dloss,0.10177949
num__dinpkt,0.08990984
cat__proto_infrequent_sklearn,0.085863374
num__ct_src_ltm,0.08180138
num__response_body_len,0.08021821
num__swin,0.055903874
num__spkts,0.037573427
cat__state_REQ,0.027186645
cat__proto_udp,0.016756535
num__is_ftp_login,0.0022847056
num__ct_flw_http_mthd,0.0017842299
num__is_sm_ips_ports,0.0001432383
num__dwin,0.0
num__ct_ftp_cmd,0.0
cat__proto_tcp,0.0
cat__state_FIN,0.0
cat__state_infrequent_sklearn,0.0
