dataset,model,accuracy_mean,accuracy_sd,accuracy,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy,precision_attack_mean,precision_attack_sd,precision_attack,recall_attack_mean,recall_attack_sd,recall_attack,f1_attack_mean,f1_attack_sd,f1_attack,precision_benign_mean,precision_benign_sd,precision_benign,recall_benign_mean,recall_benign_sd,recall_benign,f1_benign_mean,f1_benign_sd,f1_benign,macro_f1_mean,macro_f1_sd,macro_f1,FAR_mean,FAR_sd,FAR,MCC_mean,MCC_sd,MCC,TP_mean,TP_sd,TP,FP_mean,FP_sd,FP,FN_mean,FN_sd,FN,TN_mean,TN_sd,TN,roc_auc_mean,roc_auc_sd,roc_auc,pr_auc_mean,pr_auc_sd,pr_auc,train_time_s_mean,train_time_s_sd,train_time_s,inference_us_per_flow_mean,inference_us_per_flow_sd,inference_us_per_flow,throughput_flows_s_mean,throughput_flows_s_sd,throughput_flows_s
CIC,RF,0.9779361143476621,0.0015308113546134187,0.9779 ± 0.0015,0.9796559073044705,0.001636243627853781,0.9797 ± 0.0016,0.9287014856749373,0.0047670508177917225,0.9287 ± 0.0048,0.9829432045000908,0.0024272216445035523,0.9829 ± 0.0024,0.9550471278411433,0.003040921963873265,0.9550 ± 0.0030,0.9945609535512695,0.0007729659640133338,0.9946 ± 0.0008,0.97636861010885,0.001686847342129396,0.9764 ± 0.0017,0.9853801513726778,0.0010227478240852881,0.9854 ± 0.0010,0.9702136396069104,0.0020315739460862255,0.9702 ± 0.0020,0.023631389891149775,0.0016868473421293895,0.0236 ± 0.0017,0.9411133062213427,0.003985281708970975,0.9411 ± 0.0040,3611.3333333333335,8.917612321905988,3611.3333 ± 8.9176,277.3333333333333,19.7977872741471,277.3333 ± 19.7978,62.666666666666664,8.917612321905988,62.6667 ± 8.9176,11458.466666666667,19.75878345975591,11458.4667 ± 19.7588,0.9942739721753693,0.0006193153382992968,0.9943 ± 0.0006,0.973383436424532,0.0030412708848396378,0.9734 ± 0.0030,50.10405070399996,2.713646692615941,50.1041 ± 2.7136,37.999402408187535,16.361176026174096,37.9994 ± 16.3612,30526.185021565303,10865.98689323705,30526.1850 ± 10865.9869
CIC,XGB,0.9789527839559675,0.0013636324885045884,0.9790 ± 0.0014,0.98127071529385,0.0014389427523791984,0.9813 ± 0.0014,0.9302050407869176,0.004396223881978243,0.9302 ± 0.0044,0.9857013246234804,0.0022204584281998426,0.9857 ± 0.0022,0.9571440913851422,0.0027055725210917204,0.9571 ± 0.0027,0.9954387434900995,0.0007057352748235484,0.9954 ± 0.0007,0.9768401059642193,0.001560811446038079,0.9768 ± 0.0016,0.9860511029380689,0.0009114360055484177,0.9861 ± 0.0009,0.9715975971616054,0.0018082410024568177,0.9716 ± 0.0018,0.023159894035780493,0.0015608114460380804,0.0232 ± 0.0016,0.9439111791871346,0.0035387676050981265,0.9439 ± 0.0035,3621.4666666666667,8.157964265206177,3621.4667 ± 8.1580,271.8,18.31938863608718,271.8000 ± 18.3194,52.53333333333333,8.157964265206177,52.5333 ± 8.1580,11464.0,18.2443729093971,11464.0000 ± 18.2444,0.9948612079832891,0.0004805393745916092,0.9949 ± 0.0005,0.9783023103508884,0.0029182932887929316,0.9783 ± 0.0029,9.767327349066607,1.9344785083708693,9.7673 ± 1.9345,8.866914564082679,2.6125401202919747,8.8669 ± 2.6125,117851.43581298637,18763.37005599804,117851.4358 ± 18763.3701
CIC,AdaBoost,0.9712780135978524,0.0012395995324512366,0.9713 ± 0.0012,0.9771668646837253,0.0010735995946027697,0.9772 ± 0.0011,0.9007841938830775,0.00418735718876286,0.9008 ± 0.0042,0.9884231536926148,0.001603229827371249,0.9884 ± 0.0016,0.9425653869843378,0.0023591150356588575,0.9426 ± 0.0024,0.9962621922644399,0.0005150762549088236,0.9963 ± 0.0005,0.9659105756748354,0.0016000901635690496,0.9659 ± 0.0016,0.9808509145382981,0.0008399820077748826,0.9809 ± 0.0008,0.961708150761318,0.0015991775781575368,0.9617 ± 0.0016,0.034089424325164513,0.0016000901635690374,0.0341 ± 0.0016,0.9252456559306298,0.0030429539300061976,0.9252 ± 0.0030,3631.4666666666667,5.890266385762032,3631.4667 ± 5.8903,400.06666666666666,18.778660634829503,400.0667 ± 18.7787,42.53333333333333,5.89026638576203,42.5333 ± 5.8903,11335.733333333334,18.78246395926137,11335.7333 ± 18.7825,0.9917952937395178,0.000760163573404072,0.9918 ± 0.0008,0.9609724976196651,0.004285615829580352,0.9610 ± 0.0043,34.71002339426662,0.6304909033440331,34.7100 ± 0.6305,20.354989946355868,4.303258822041787,20.3550 ± 4.3033,51057.03429802255,9969.131345521935,51057.0343 ± 9969.1313
CIC,DT,0.9659610479319762,0.0012450531178779937,0.9660 ± 0.0012,0.951918634627944,0.001938806414352124,0.9519 ± 0.0019,0.9317176080792318,0.005707170365966428,0.9317 ± 0.0057,0.9250771184902924,0.004672026496783596,0.9251 ± 0.0047,0.9283645452574552,0.002521457049494119,0.9284 ± 0.0025,0.9765998716787305,0.0013979790604031627,0.9766 ± 0.0014,0.9787601507655955,0.0019675298357767876,0.9788 ± 0.0020,0.9776766947974557,0.000828959599503053,0.9777 ± 0.0008,0.9530206200274555,0.0016706231864251414,0.9530 ± 0.0017,0.021239849234404355,0.001967529835776793,0.0212 ± 0.0020,0.906069743022917,0.003343322859096538,0.9061 ± 0.0033,3398.733333333333,17.165025349183008,3398.7333 ± 17.1650,249.26666666666668,23.091330057177817,249.2667 ± 23.0913,275.26666666666665,17.165025349183004,275.2667 ± 17.1650,11486.533333333333,23.070905198250603,11486.5333 ± 23.0709,0.9519186346279438,0.0019388064143521118,0.9519 ± 0.0019,0.8797602326766091,0.004451944293345141,0.8798 ± 0.0045,2.127949368600063,0.2693546948510945,2.1279 ± 0.2694,2.1339152148595177,0.25558246325658995,2.1339 ± 0.2556,473956.2824553202,47849.00385578781,473956.2825 ± 47849.0039
CIC,KNN,0.9746654763102494,0.001537307558998534,0.9747 ± 0.0015,0.9743113839295608,0.001561284354147981,0.9743 ± 0.0016,0.9241969436928531,0.005487242701931527,0.9242 ± 0.0055,0.973634549083651,0.002764014532016913,0.9736 ± 0.0028,0.9482613032150837,0.0030156468785638925,0.9483 ± 0.0030,0.9916063264186926,0.0008707788704670097,0.9916 ± 0.0009,0.9749882187754709,0.0019696982463287905,0.9750 ± 0.0020,0.9832258296054098,0.0010312817766813757,0.9832 ± 0.0010,0.965743566410247,0.0020228311742871157,0.9657 ± 0.0020,0.025011781224528993,0.00196969824632881,0.0250 ± 0.0020,0.932066290766992,0.003948343968835802,0.9321 ± 0.0039,3577.133333333333,10.154989390630083,3577.1333 ± 10.1550,293.53333333333336,23.11729923259903,293.5333 ± 23.1173,96.86666666666666,10.154989390630082,96.8667 ± 10.1550,11442.266666666666,23.082048270917216,11442.2667 ± 23.0820,0.9904207917303682,0.0006403894492316412,0.9904 ± 0.0006,0.9474572662036255,0.004028169924362919,0.9475 ± 0.0040,0.14307587059999302,0.026800360603328372,0.1431 ± 0.0268,700.3772224574951,64.0289573736894,700.3772 ± 64.0290,1439.6581713552018,139.27427843925418,1439.6582 ± 139.2743
UNSW,RF,0.9166577768396085,0.0022928707875561785,0.9167 ± 0.0023,0.9164033186218478,0.0023095125193429516,0.9164 ± 0.0023,0.9162349675849009,0.0029064679804102836,0.9162 ± 0.0029,0.9098101265822784,0.0035732879084291844,0.9098 ± 0.0036,0.9130064252549089,0.002428060115339462,0.9130 ± 0.0024,0.9170592498561412,0.003035256729986666,0.9171 ± 0.0030,0.9229965106614166,0.002894544409355347,0.9230 ± 0.0029,0.9200142294121292,0.002184514564492543,0.9200 ± 0.0022,0.9165103273335191,0.002298801349350727,0.9165 ± 0.0023,0.0770034893385834,0.0028945444093553545,0.0770 ± 0.0029,0.8330503760632076,0.0045988506957137815,0.8331 ± 0.0046,5750.0,22.58317958127243,5750.0000 ± 22.5832,525.7333333333333,19.753721771087182,525.7333 ± 19.7537,570.0,22.58317958127243,570.0000 ± 22.5832,6301.666666666667,19.866219234335123,6301.6667 ± 19.8662,0.980657969627003,0.0007840967110841884,0.9807 ± 0.0008,0.9797412805312382,0.0008026421731239704,0.9797 ± 0.0008,43.91527692773331,1.404642335672336,43.9153 ± 1.4046,41.46137188705528,12.71421080902327,41.4614 ± 12.7142,25799.890586559606,5965.394749451026,25799.8906 ± 5965.3947
UNSW,XGB,0.9196342818481835,0.002010874195384692,0.9196 ± 0.0020,0.9191727713370744,0.0019779667371789943,0.9192 ± 0.0020,0.9242234138890022,0.0036750074312212476,0.9242 ± 0.0037,0.9072151898734178,0.0026810833934458617,0.9072 ± 0.0027,0.9156340959369117,0.0020345072498158885,0.9156 ± 0.0020,0.915554004705944,0.002190561478017658,0.9156 ± 0.0022,0.9311303528007311,0.003670400235614378,0.9311 ± 0.0037,0.9232714015432139,0.001999487644939445,0.9233 ± 0.0020,0.9194527487400627,0.0020079021317564462,0.9195 ± 0.0020,0.06886964719926884,0.003670400235614365,0.0689 ± 0.0037,0.8390611465686468,0.0040492985564791134,0.8391 ± 0.0040,5733.6,16.944447046577995,5733.6000 ± 16.9444,470.2,25.046242946084462,470.2000 ± 25.0462,586.4,16.944447046577995,586.4000 ± 16.9444,6357.2,25.233764228566002,6357.2000 ± 25.2338,0.9821385899431948,0.0008288578474842664,0.9821 ± 0.0008,0.9816520096804119,0.0008699827166147796,0.9817 ± 0.0009,5.322978312466815,1.7467219389484914,5.3230 ± 1.7467,10.457274163008318,3.0855363652144203,10.4573 ± 3.0855,101993.17964299054,23522.135693893557,101993.1796 ± 23522.1357
UNSW,AdaBoost,0.8862740395290075,0.0033725706704281874,0.8863 ± 0.0034,0.8864691806439209,0.0032670654926828233,0.8865 ± 0.0033,0.8745949604664712,0.010969943908729117,0.8746 ± 0.0110,0.8915295358649789,0.011933489137415139,0.8915 ± 0.0119,0.882854769574586,0.0033320362745617805,0.8829 ± 0.0033,0.8979145391315033,0.008916020505228767,0.8979 ± 0.0089,0.8814088254228626,0.01294399710330243,0.8814 ± 0.0129,0.8894707489666845,0.0038430665429984093,0.8895 ± 0.0038,0.886162759270635,0.003343726799551553,0.8862 ± 0.0033,0.11859117457713748,0.01294399710330244,0.1186 ± 0.0129,0.7727237197132324,0.006733939817907252,0.7727 ± 0.0067,5634.466666666666,75.4196513484636,5634.4667 ± 75.4197,809.6666666666666,88.34968402131761,809.6667 ± 88.3497,685.5333333333333,75.4196513484636,685.5333 ± 75.4197,6017.733333333334,88.57560666028822,6017.7333 ± 88.5756,0.9649796092635647,0.0015055939419267182,0.9650 ± 0.0015,0.9616238870661971,0.0018157636585739382,0.9616 ± 0.0018,25.13125033873324,0.8037352620463935,25.1313 ± 0.8037,17.360860909208338,2.862109743273395,17.3609 ± 2.8621,58928.54612510019,8777.069229595867,58928.5461 ± 8777.0692
UNSW,DT,0.8936519596221817,0.0022843565412563535,0.8937 ± 0.0023,0.8934617634797168,0.0022925192329223782,0.8935 ± 0.0023,0.8900632230180189,0.00363460720287925,0.8901 ± 0.0036,0.8885337552742617,0.004242693065675513,0.8885 ± 0.0042,0.8892875863891015,0.0024064745544964336,0.8893 ± 0.0024,0.8969952371715898,0.0034043500037295184,0.8970 ± 0.0034,0.898389771685172,0.003895778104279545,0.8984 ± 0.0039,0.8976832465447393,0.002221322020184723,0.8977 ± 0.0022,0.8934854164669204,0.0022869968638311268,0.8935 ± 0.0023,0.10161022831482805,0.003895778104279554,0.1016 ± 0.0039,0.7869909594362618,0.004591420272971033,0.7870 ± 0.0046,5615.533333333334,26.813820175069285,5615.5333 ± 26.8138,693.7333333333333,26.588038843130374,693.7333 ± 26.5880,704.4666666666667,26.813820175069278,704.4667 ± 26.8138,6133.666666666667,26.685112667838567,6133.6667 ± 26.6851,0.8934706511632514,0.0022954715452847972,0.8935 ± 0.0023,0.8444383117683868,0.0032355539899854577,0.8444 ± 0.0032,2.111009395266653,0.3039439486642472,2.1110 ± 0.3039,2.7819250041612897,0.5226250835176626,2.7819 ± 0.5226,370490.17915603955,63951.29574142263,370490.1792 ± 63951.2957
UNSW,KNN,0.869403833233262,0.0032468108467933157,0.8694 ± 0.0032,0.8690610345166511,0.003253315899652792,0.8691 ± 0.0033,0.8670954845696898,0.003964110864792951,0.8671 ± 0.0040,0.8601793248945148,0.004360263862071574,0.8602 ± 0.0044,0.8636173300974114,0.003408936418947249,0.8636 ± 0.0034,0.8715266602508854,0.0036323461868338763,0.8715 ± 0.0036,0.8779427441387873,0.00403509522937543,0.8779 ± 0.0040,0.8747177078607867,0.003133405064130585,0.8747 ± 0.0031,0.869167518979099,0.0032525798507400416,0.8692 ± 0.0033,0.1220572558612127,0.004035095229375428,0.1221 ± 0.0040,0.7383720431208244,0.006505277001785616,0.7384 ± 0.0065,5436.333333333333,27.556867608292357,5436.3333 ± 27.5569,833.3333333333334,27.536123460612522,833.3333 ± 27.5361,883.6666666666666,27.556867608292354,883.6667 ± 27.5569,5994.066666666667,27.63917165046394,5994.0667 ± 27.6392,0.9506792910855684,0.0018260668222943477,0.9507 ± 0.0018,0.9307896519369064,0.002589514974716511,0.9308 ± 0.0026,0.26763779973346874,0.07110392015007327,0.2676 ± 0.0711,539.9276715293216,79.84241833189445,539.9277 ± 79.8424,1889.4316381514866,271.5866935749232,1889.4316 ± 271.5867
