condition,metric,mean_CIC,mean_UNSW,difference,ci_low,ci_high,cliffs_delta,distributions_overlap,p_mann_whitney,range_CIC,range_UNSW,n_folds
Baseline,accuracy,0.9789527839559675,0.9196342818481835,0.059318502107784,0.05813991311885643,0.06051686172657963,1.0,False,3.3833394126542183e-06,"[0.9768, 0.9811]","[0.9164, 0.9229]",15
Baseline,balanced_accuracy,0.98127071529385,0.9191727713370744,0.06209794395677559,0.060912663041977885,0.06329682772862989,1.0,False,3.3918213908250945e-06,"[0.9788, 0.9837]","[0.9160, 0.9223]",15
Baseline,recall_attack,0.9857013246234804,0.9072151898734178,0.07848613475006261,0.0767079585076108,0.08009718078227891,1.0,False,3.349586435956617e-06,"[0.9809, 0.9888]","[0.9043, 0.9149]",15
Baseline,macro_f1,0.9715975971616054,0.9194527487400627,0.05214484842154277,0.05083889277219752,0.05346940234719248,1.0,False,3.3918213908250945e-06,"[0.9687, 0.9744]","[0.9162, 0.9227]",15
Baseline,MCC,0.9439111791871347,0.8390611465686468,0.10485003261848791,0.10225064225393593,0.10748509934967948,1.0,False,3.3918213908250945e-06,"[0.9384, 0.9495]","[0.8326, 0.8456]",15
Baseline,FAR,0.023159894035780445,0.06886964719926877,-0.045709753163488326,-0.047689138416374476,-0.043802936553225695,-1.0,False,3.3918213908250945e-06,"[0.0208, 0.0258]","[0.0625, 0.0756]",15
E1 matched,accuracy,0.9779428884487155,0.9430649561124835,0.03487793233623193,0.03348029226239628,0.036200811674535156,1.0,False,3.349586435956617e-06,"[0.9760, 0.9800]","[0.9399, 0.9476]",15
E1 matched,balanced_accuracy,0.9793695514782874,0.9033995147439003,0.07597003673438707,0.0737181971812356,0.07822227130653406,1.0,False,3.3918213908250945e-06,"[0.9755, 0.9826]","[0.8966, 0.9106]",15
E1 matched,recall_attack,0.9820966623811767,0.8275786369866222,0.1545180253945545,0.15018694154209622,0.15891566383725111,1.0,False,3.3918213908250945e-06,"[0.9743, 0.9874]","[0.8134, 0.8400]",15
E1 matched,macro_f1,0.9702056408846531,0.9185680308187522,0.05163761006590095,0.049620932859045126,0.05356496490690252,1.0,False,3.3918213908250945e-06,"[0.9677, 0.9730]","[0.9135, 0.9252]",15
E1 matched,MCC,0.9410611734014441,0.8394996122417276,0.10156156115971648,0.09761356517254986,0.1053086699295554,1.0,False,3.3918213908250945e-06,"[0.9358, 0.9468]","[0.8301, 0.8525]",15
E1 matched,FAR,0.023357559424602173,0.020779607498821424,0.002577951925780749,0.0014065816769837085,0.003749775822059431,0.7333333333333333,True,0.0006653478828453007,"[0.0212, 0.0267]","[0.0183, 0.0246]",15
E2 common,accuracy,0.9770281821342507,0.9228298357960566,0.05419834633819409,0.05287271521068045,0.05553691782685062,1.0,False,3.3833394126542183e-06,"[0.9745, 0.9793]","[0.9187, 0.9268]",15
E2 common,balanced_accuracy,0.9781905302449584,0.8706172964728043,0.10757323377215411,0.10542261530492407,0.10975637151797739,1.0,False,3.3918213908250945e-06,"[0.9734, 0.9809]","[0.8640, 0.8771]",15
E2 common,recall_attack,0.98041240798855,0.7708124001675676,0.20960000782098243,0.20528818532634868,0.21399879533525082,1.0,False,3.3748749558581833e-06,"[0.9715, 0.9860]","[0.7568, 0.7819]",15
E2 common,macro_f1,0.968974261419083,0.8884264110914493,0.08054785032763379,0.07863483231904618,0.08249743961954349,1.0,False,3.3918213908250945e-06,"[0.9654, 0.9720]","[0.8822, 0.8944]",15
E2 common,MCC,0.9386111671180549,0.7805775933546524,0.15803357376340255,0.1542563259449792,0.16187022450414576,1.0,False,3.3918213908250945e-06,"[0.9313, 0.9445]","[0.7683, 0.7922]",15
E2 common,FAR,0.02403134749863323,0.029577807221959167,-0.0055464597233259375,-0.006923755037281882,-0.004187744041107217,-0.9822222222222222,True,4.979831279756645e-06,"[0.0217, 0.0274]","[0.0262, 0.0335]",15
