feature,importance
num__sttl,0.41485894
cat__service_dns,0.21677971
cat__proto_infrequent_sklearn,0.07302991
cat__service_-,0.05739636
num__ct_state_ttl,0.043654136
num__ct_dst_sport_ltm,0.022434358
cat__service_ftp,0.017271081
num__response_body_len,0.016985714
num__ct_srv_dst,0.013738164
num__dmean,0.009791275
num__ct_dst_src_ltm,0.0093583865
num__trans_depth,0.008343111
num__dbytes,0.006645946
cat__service_http,0.0062181936
cat__proto_udp,0.0052745114
num__sloss,0.0050379247
num__dloss,0.0050167055
num__swin,0.0049509984
num__smean,0.0045452686
num__tcprtt,0.0040398333
num__sbytes,0.0039548124
num__dpkts,0.003557438
num__dinpkt,0.0029226549
num__dload,0.0028917366
num__synack,0.0028681147
num__dur,0.0027597744
num__ct_flw_http_mthd,0.0026827517
num__ct_srv_src,0.0024958844
num__ct_src_dport_ltm,0.0024938134
num__spkts,0.0024562809
num__sjit,0.0024354183
num__ct_src_ltm,0.0023736209
num__sinpkt,0.0023568748
num__is_ftp_login,0.0023476798
num__rate,0.0023031812
num__ackdat,0.0022315632
num__djit,0.0021641685
num__sload,0.0020843297
num__dtcpb,0.002049391
num__stcpb,0.0019872608
num__ct_dst_ltm,0.0019079912
cat__service_smtp,0.0008207799
cat__service_infrequent_sklearn,0.000450338
cat__state_INT,3.3640503e-05
num__dwin,0.0
num__dttl,0.0
num__ct_ftp_cmd,0.0
cat__service_ftp-data,0.0
cat__proto_tcp,0.0
num__is_sm_ips_ports,0.0
cat__state_CON,0.0
cat__state_FIN,0.0
cat__state_REQ,0.0
cat__state_infrequent_sklearn,0.0
