dataset,model,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,macro_f1,FAR,MCC,roc_auc,pr_auc
E1_CIC,RF,0.9769 ± 0.0011,0.9784 ± 0.0013,0.9263 ± 0.0040,0.9812 ± 0.0026,0.9529 ± 0.0021,0.9688 ± 0.0014,0.0245 ± 0.0015,0.9383 ± 0.0027,0.9941 ± 0.0005,0.9739 ± 0.0027
E1_CIC,XGB,0.9779 ± 0.0013,0.9794 ± 0.0016,0.9294 ± 0.0043,0.9821 ± 0.0033,0.9550 ± 0.0025,0.9702 ± 0.0017,0.0234 ± 0.0016,0.9411 ± 0.0033,0.9945 ± 0.0005,0.9768 ± 0.0024
E1_CIC,AdaBoost,0.9707 ± 0.0014,0.9766 ± 0.0011,0.8990 ± 0.0049,0.9880 ± 0.0017,0.9414 ± 0.0026,0.9609 ± 0.0018,0.0347 ± 0.0019,0.9237 ± 0.0033,0.9916 ± 0.0008,0.9598 ± 0.0043
E1_CIC,DT,0.9653 ± 0.0014,0.9515 ± 0.0023,0.9292 ± 0.0032,0.9251 ± 0.0043,0.9272 ± 0.0030,0.9522 ± 0.0020,0.0221 ± 0.0010,0.9044 ± 0.0039,0.9515 ± 0.0023,0.8775 ± 0.0047
E1_CIC,KNN,0.9739 ± 0.0013,0.9732 ± 0.0025,0.9226 ± 0.0047,0.9720 ± 0.0057,0.9466 ± 0.0026,0.9647 ± 0.0017,0.0255 ± 0.0018,0.9299 ± 0.0035,0.9902 ± 0.0006,0.9469 ± 0.0033
E1_UNSW,RF,0.9401 ± 0.0022,0.8989 ± 0.0040,0.9199 ± 0.0058,0.8202 ± 0.0081,0.8672 ± 0.0052,0.9142 ± 0.0033,0.0224 ± 0.0018,0.8309 ± 0.0064,0.9793 ± 0.0011,0.9487 ± 0.0023
E1_UNSW,XGB,0.9431 ± 0.0025,0.9034 ± 0.0043,0.9258 ± 0.0060,0.8276 ± 0.0083,0.8739 ± 0.0058,0.9186 ± 0.0037,0.0208 ± 0.0018,0.8395 ± 0.0072,0.9802 ± 0.0011,0.9513 ± 0.0028
E1_UNSW,AdaBoost,0.9082 ± 0.0032,0.8522 ± 0.0069,0.8512 ± 0.0069,0.7451 ± 0.0146,0.7946 ± 0.0086,0.8677 ± 0.0052,0.0408 ± 0.0024,0.7386 ± 0.0099,0.9648 ± 0.0021,0.9078 ± 0.0055
E1_UNSW,DT,0.9140 ± 0.0020,0.8834 ± 0.0033,0.8165 ± 0.0074,0.8250 ± 0.0080,0.8206 ± 0.0040,0.8821 ± 0.0027,0.0581 ± 0.0032,0.7642 ± 0.0053,0.8834 ± 0.0033,0.7153 ± 0.0058
E1_UNSW,KNN,0.9009 ± 0.0021,0.8326 ± 0.0041,0.8566 ± 0.0081,0.7020 ± 0.0091,0.7716 ± 0.0055,0.8542 ± 0.0034,0.0368 ± 0.0026,0.7149 ± 0.0064,0.9308 ± 0.0039,0.8425 ± 0.0061
