model_a,model_b,a_wrong_b_right,a_right_b_wrong,p_value,p_holm,significant_a005
RF,XGB,70,32,0.0002487476077807569,0.0004974952155615138,True
RF,AdaBoost,93,263,3.3368588916437134e-19,2.3358012241505994e-18,True
RF,DT,118,360,2.9575124515193564e-28,2.6617612063674207e-27,True
RF,KNN,71,144,9.090969149596878e-07,3.6363876598387513e-06,True
XGB,AdaBoost,73,281,3.7405661080334056e-28,2.9924528864267245e-27,True
XGB,DT,106,386,2.7797710580085424e-36,2.779771058008542e-35,True
XGB,KNN,75,186,9.83963044583214e-12,4.91981522291607e-11,True
AdaBoost,DT,306,378,0.006632524751116388,0.006632524751116388,True
AdaBoost,KNN,240,143,9.325098193724088e-07,3.6363876598387513e-06,True
DT,KNN,381,212,5.239452785787724e-12,3.143671671472634e-11,True
