model_a,model_b,a_wrong_b_right,a_right_b_wrong,p_value,p_holm,significant_a005
RF,XGB,415,360,0.05241162867102874,0.05883786991136366,False
RF,AdaBoost,542,1134,3.066254550273808e-47,2.1463781851916654e-46,True
RF,DT,573,1058,4.2864101303243346e-33,2.1432050651621673e-32,True
RF,KNN,596,1514,1.1531773706897454e-88,1.0378596336207707e-87,True
XGB,AdaBoost,495,1142,2.1891903376140812e-57,1.751352270091265e-56,True
XGB,DT,578,1118,3.852379269249332e-39,2.3114275615495994e-38,True
XGB,KNN,604,1577,3.2879787982521693e-96,3.287978798252169e-95,True
AdaBoost,DT,1238,1131,0.02941893495568183,0.05883786991136366,False
AdaBoost,KNN,952,1278,5.891132091637043e-12,1.767339627491113e-11,True
DT,KNN,1048,1481,8.672758846868865e-18,3.469103538747546e-17,True
