feature,mean_abs_shap
num__Fwd Seg Size Min,4.9125624
num__Bwd Packets/s,1.5405643
num__Bwd Packet Length Min,0.7140613
num__Flow IAT Mean,0.4380275
num__Flow IAT Std,0.3941137
num__Flow Packets/s,0.3536945
num__Fwd IAT Total,0.33344048
num__Fwd IAT Min,0.30614725
num__Total Length of Bwd Packet,0.27802828
num__Flow Duration,0.23854266
num__Bwd Bytes/Bulk Avg,0.23218973
num__Fwd IAT Std,0.22851752
num__Flow IAT Max,0.2278233
num__Fwd Header Length,0.22369774
num__Flow IAT Min,0.2115587
num__Flow Bytes/s,0.20686767
num__Bwd IAT Total,0.20264587
num__Fwd IAT Max,0.19645908
num__Fwd IAT Mean,0.18348028
num__Fwd Packets/s,0.18238732
num__Packet Length Max,0.16255671
num__Bwd IAT Min,0.15953505
num__FWD Init Win Bytes,0.113578975
num__Fwd Packet Length Max,0.10684033
num__Bwd Bulk Rate Avg,0.098041266
num__Fwd Packet Length Std,0.09147373
num__Fwd Packet Length Mean,0.09030689
num__Bwd IAT Mean,0.083165355
num__Bwd Packet Length Mean,0.081016846
num__Packet Length Std,0.07717754
num__Packet Length Min,0.07441472
num__Bwd Init Win Bytes,0.06983405
num__PSH Flag Count,0.06897277
num__Total Length of Fwd Packet,0.066303246
num__Average Packet Size,0.064851
num__Packet Length Mean,0.056386158
num__Bwd Packet Length Std,0.054013383
num__Total Fwd Packet,0.0522135
num__Fwd Packet Length Min,0.048443113
num__Fwd Act Data Pkts,0.047256023
num__Down/Up Ratio,0.04581494
num__Bwd Packet Length Max,0.043344524
num__Bwd IAT Max,0.043212242
num__Bwd Header Length,0.041848708
num__Bwd IAT Std,0.041481175
num__ACK Flag Count,0.03787689
num__Bwd Packet/Bulk Avg,0.023305587
num__Total Bwd packets,0.021262977
num__FIN Flag Count,0.016814334
num__Subflow Bwd Packets,0.008204078
num__Subflow Fwd Packets,0.00789785
num__Subflow Bwd Bytes,0.0060708257
num__SYN Flag Count,0.005332957
num__Active Mean,0.003551517
num__Idle Mean,0.0034561055
num__Subflow Fwd Bytes,0.0024403143
num__Active Min,0.0013268231
num__Idle Max,0.0011396684
num__Idle Std,0.00063576654
num__Idle Min,0.00029679874
num__Fwd PSH Flags,0.0
num__Packet Length Variance,0.0
num__RST Flag Count,0.0
num__Bwd Segment Size Avg,0.0
num__Fwd Segment Size Avg,0.0
num__Active Max,0.0
num__Active Std,0.0
