feature,mean_abs_shap
num__sttl,3.6422079
num__ct_dst_src_ltm,0.6089194
num__ct_state_ttl,0.4615723
num__dbytes,0.38650665
num__sbytes,0.33975872
num__smean,0.3238066
cat__service_-,0.2927117
num__dmean,0.25586456
num__ct_srv_dst,0.2459879
cat__service_dns,0.20610076
num__tcprtt,0.18538517
num__ct_dst_sport_ltm,0.17635575
num__dur,0.16534981
num__ct_srv_src,0.15125465
num__dload,0.14696518
num__synack,0.14109635
num__ct_src_ltm,0.12850386
cat__proto_infrequent_sklearn,0.12676272
num__ackdat,0.122707255
num__sjit,0.12229979
num__sload,0.10961072
num__stcpb,0.10592382
num__rate,0.10031601
num__dtcpb,0.09764811
num__trans_depth,0.09727705
num__ct_src_dport_ltm,0.09581528
num__dinpkt,0.089083895
num__response_body_len,0.08652604
num__sinpkt,0.08642785
num__djit,0.07427901
num__dloss,0.07313376
num__dpkts,0.0656117
num__ct_dst_ltm,0.059262063
num__sloss,0.04721544
num__spkts,0.03707304
cat__service_http,0.036333777
num__swin,0.03189544
cat__service_ftp,0.020320367
num__ct_flw_http_mthd,0.010606444
cat__proto_udp,0.0039232094
cat__service_smtp,0.0025072717
num__is_ftp_login,0.00097623415
cat__state_INT,0.0005327074
cat__service_infrequent_sklearn,0.00022979031
num__dwin,0.0
num__dttl,0.0
num__ct_ftp_cmd,0.0
cat__service_ftp-data,0.0
cat__proto_tcp,0.0
num__is_sm_ips_ports,0.0
cat__state_CON,0.0
cat__state_FIN,0.0
cat__state_REQ,0.0
cat__state_infrequent_sklearn,0.0
